Estado,DSI25,DSImediana,DSI75,num_distritos
Aguascalientes,0.35175,0.619,0.7985,18
Baja California,0.382,0.482,0.611,17
Baja California Sur,0.3085,0.4105,0.47125,16
Campeche,0.364,0.567,0.96,21
Coahuila,0.39375,0.553,0.7045,16
Chiapas,0.32675,0.3795,0.5795,16
Chihuahua,0.3315,0.5045,0.6965,24
DF,0.568,0.668,0.794,33
Durango,0.29525,0.3555,0.48325,16
Guanajuato,0.3535,0.438,0.58325,22
Guerrero,0.9975,1,1,28
Hidalgo,0.3495,0.5095,0.6065,18
Jalisco,0.48225,0.626,0.80775,20
México,0.356,0.495,0.551,45
Michoacán,0.5185,0.718,0.86525,24
Morelos,0.35825,0.4695,0.533,12
Nayarit,0.3065,0.525,0.665,0
Nuevo León,0.33625,0.441,0.66825,26
Oaxaca,0.435,0.593,0.684,25
Puebla,0.3855,0.6395,0.84125,26
Querétaro,0.352,0.462,0.7025,15
San Luis Potosí,0.5825,0.718,1,15
Tabasco,0.382,0.581,0.691,21
Tlaxcala,0.499,0.656,0.7445,15
Veracruz,0.028,0.032,0.036,30
Zacatecas,0.37775,0.503,0.83925,18
